,Cell Number,Area,Center
0,,566.0,"(9.872791519434628, 56.151943462897506)"
1,,1055.0,"(25.52132701421801, 138.92985781990527)"
2,,774.0,"(36.348837209302324, 35.54134366925065)"
3,,21.0,"(54.14285714285713, 1.238095238095238)"
4,,399.0,"(68.41854636591478, 241.38596491228068)"
5,,906.0,"(95.2924944812362, 174.24834437086085)"
6,,445.0,"(90.2988764044944, 136.25842696629212)"
7,,1.0,"(107.0, 254.0)"
8,,1.0,"(108.0, 255.0)"
9,,533.0,"(135.24765478424013, 127.88180112570356)"
10,,139.0,"(131.19424460431654, 251.48920863309345)"
11,,469.0,"(151.67164179104475, 175.01492537313425)"
12,,607.0,"(154.30971993410213, 73.24546952224051)"
13,,338.0,"(159.45857988165682, 208.50887573964502)"
14,,367.0,"(182.1825613079019, 184.36784741144407)"
15,,292.0,"(189.3082191780822, 211.71917808219177)"
16,,169.0,"(192.05917159763317, 249.62721893491127)"
17,,608.0,"(200.10855263157896, 127.77138157894731)"
18,,279.0,"(203.6487455197133, 170.9964157706093)"
19,,705.0,"(225.69787234042556, 204.93191489361695)"
20,,1241.0,"(236.43835616438355, 39.0290088638195)"
21,,709.0,"(238.90550070521863, 127.14950634696758)"
22,,137.0,"(251.31386861313865, 195.43795620437953)"
23,,1.0,"(255.0, 30.0)"
